t,devId,seq,ax,ay,az,gx,gy,gz,mx,my,mz
1687758.040650,3954085724,2955,2.11669921875,-0.35400390625,0.73095703125,-48.76708984375,-185.48583984375,-48.9501953125,0.3710293173789978,0.03955252096056938,-0.162282332777977
1687758.040650,3954085724,2956,2.7607421875,-0.2041015625,0.89013671875,-26.123046875,-78.43017578125,-15.19775390625,0.37789344787597656,0.039808522909879684,-0.15231871604919434
1687758.040650,3954085724,2957,2.77392578125,-0.3876953125,0.85205078125,-49.072265625,68.78662109375,-9.82666015625,0.3751968443393707,0.03673648461699486,-0.14185692369937897
1687758.040650,3954085724,2958,2.76318359375,-0.70849609375,0.8125,-32.71484375,186.46240234375,1.220703125,0.3693132996559143,0.03212842345237732,-0.16801141202449799
1687758.149718,3954085724,2959,2.59130859375,-0.87060546875,0.75341796875,18.310546875,310.48583984375,-7.75146484375,0.3521530330181122,0.04057653620839119,-0.2051258683204651
1687758.149718,3954085724,2960,2.38525390625,-1.00341796875,0.66650390625,96.13037109375,432.4951171875,1.15966796875,0.319793701171875,0.052096687257289886,-0.25220394134521484
1687758.149718,3954085724,2961,1.9267578125,-1.041015625,0.72607421875,167.90771484375,536.31591796875,63.3544921875,0.2685580849647522,0.06131281331181526,-0.29828566312789917
1687758.149718,3954085724,2962,1.28662109375,-0.77880859375,0.9365234375,266.7236328125,603.21044921875,105.224609375,0.20334908366203308,0.1022733524441719,-0.346110999584198
1687758.149718,3954085724,2963,0.6064453125,-0.58740234375,1.02685546875,329.40673828125,663.0859375,146.1181640625,0.11215454339981079,0.1504019945859909,-0.35258734226226807
1687758.257837,3954085724,2964,-0.0478515625,-0.34814453125,1.12890625,347.22900390625,694.76318359375,116.88232421875,0.004290060605853796,0.20339469611644745,-0.3483527898788452
1687758.257837,3954085724,2965,-0.36962890625,0.013671875,0.97412109375,334.9609375,644.10400390625,94.90966796875,-0.08543357998132706,0.24691526591777802,-0.3159710466861725
1687758.257837,3954085724,2967,-0.45947265625,0.080078125,1.052734375,283.447265625,591.85791015625,86.9140625,-0.2271282970905304,0.2914598286151886,-0.19267134368419647
1687758.257837,3954085724,2968,-1.18310546875,0.84521484375,1.1513671875,304.6875,602.47802734375,153.38134765625,-0.27248039841651917,0.2968359589576721,-0.11246426403522491
1687758.365793,3954085724,2969,-1.7431640625,1.18701171875,0.78564453125,8.97216796875,481.5673828125,177.18505859375,-0.3153810501098633,0.2817317545413971,-0.05417713522911072
